Accelerometer and gyro output
Acce: 0.00653076171875 0.001068115234375 -0.9963226318359375
Gyro: 0.027121366932988167 0.007889348082244396 0.00045353634050115943
Acce: 0.006195068359375 0.0018463134765625 -0.9961700439453125
Gyro: 0.0276769008487463 0.009110407903790474 0.000319845654303208
Acce: 0.0053253173828125 0.00079345703125 -0.99560546875
Gyro: 0.028809810057282448 0.007829426787793636 -0.00010253170330543071
Acce: 0.00732421875 0.0024566650390625 -0.9955596923828125
Gyro: 0.02917945757508278 0.007384412921965122 -0.0006735134520567954
Acce: 0.00732421875 0.0024566650390625 -0.9955596923828125
Gyro: 0.02917945757508278 0.007384412921965122 -0.0006735134520567954
Acce: 0.007720947265625 0.0013885498046875 -0.9964141845703125
Gyro: 0.027722707018256187 0.008774316869676113 -0.0001637844106880948
Acce: 0.006744384765625 0.00152587890625 -0.9951171875
Gyro: 0.027415646240115166 0.007833422161638737 0.000794420950114727
Acce: 0.00531005859375 0.0006866455078125 -0.99560546875
Gyro: 0.028440162539482117 0.007923170924186707 3.5420041967881843e-05
Acce: 0.007232666015625 0.00152587890625 -0.997100830078125
Gyro: 0.027420705184340477 0.006865096744149923 0.00013262542779557407
Acce: 0.007232666015625 0.00152587890625 -0.997100830078125
Gyro: 0.027420705184340477 0.006865096744149923 0.00013262542779557407
Acce: 0.007110595703125 0.001556396484375 -0.996917724609375
Gyro: 0.02805054374039173 0.007107976824045181 6.364954606397077e-05
Acce: 0.0071868896484375 0.0014190673828125 -0.996002197265625
Gyro: 0.027778901159763336 0.007598265074193478 -0.0011044129496440291
Acce: 0.0060577392578125 0.0010528564453125 -0.997650146484375
Gyro: 0.027238279581069946 0.007314904592931271 -0.0012460930738598108
Acce: 0.0064544677734375 0.0017852783203125 -0.9949798583984375
Gyro: 0.027945879846811295 0.007098655682057142 -0.0010098706698045135
Acce: 0.0064697265625 0.00201416015625 -0.9957275390625
Gyro: 0.028133898973464966 0.00803395826369524 0.0005379585199989378
Acce: 0.0064697265625 0.00201416015625 -0.9957275390625
Gyro: 0.028133898973464966 0.00803395826369524 0.0005379585199989378
Acce: 0.0063323974609375 0.0016632080078125 -0.996856689453125
Gyro: 0.027246002107858658 0.0075942701660096645 -0.0011459582019597292
Acce: 0.0066986083984375 0.001556396484375 -0.9953155517578125
Gyro: 0.02919277362525463 0.00688959751278162 -0.0007773766992613673
Acce: 0.0062713623046875 0.000885009765625 -0.9952239990234375
Gyro: 0.02834482304751873 0.007669371087104082 0.0005864280392415822
Acce: 0.006561279296875 0.0014190673828125 -0.996002197265625
Gyro: 0.027719778940081596 0.008889631368219852 -0.00022397184511646628
Acce: 0.005828857421875 0.0001983642578125 -0.99639892578125
Gyro: 0.02737702988088131 0.007183876819908619 -0.0007709851488471031
Acce: 0.005828857421875 0.0001983642578125 -0.99639892578125
Gyro: 0.02737702988088131 0.007183876819908619 -0.0007709851488471031
Acce: 0.0067596435546875 0.002410888671875 -0.99468994140625
Gyro: 0.027846012264490128 0.009091765619814396 -0.0008655273704789579
Acce: 0.0069580078125 0.0007781982421875 -0.9954376220703125
Gyro: 0.027182618156075478 0.006476275157183409 6.604639202123508e-05
Acce: 0.00665283203125 0.0015106201171875 -0.9954833984375
Gyro: 0.027956800535321236 0.008657137863337994 -0.001320927869528532
Acce: 0.00677490234375 0.0009765625 -0.99652099609375
Gyro: 0.028597556054592133 0.006525010801851749 -0.0012242551892995834
Acce: 0.006805419921875 0.0023193359375 -0.995880126953125
Gyro: 0.028059864416718483 0.006299973931163549 -0.000538491178303957
